TÍTULO,TIPO DE PROPIEDAD,PRECIO,RECÁMARAS,BAÑOS,TAMAÑO DE PROPIEDAD,FECHA DE DISPONIBILIDAD
A101,Apartamento,"$1,840,500",3,4.5,260 m2,2022
B103,Apartamento,"$660,000",2,2,124 m2,2022
B201,Apartamento,"$749,500",2,3,135 m2,2022
B301,Apartamento,"$750,000",2,2,135 m2,2022
C103,Apartamento,"$775,500",2,2.5,144 m2,2022
C201,Apartamento,"$770,000",3,3.5,132 m2,2022
C202,Apartamento,"$780,000",2,2.5,144 m2,2022
C302,Apartamento,"$780,000",2,2.5,133 m2,2022
C401,Apartamento,"$2,450,569",4,5,569 m2,2022
Casa Calle 5ta,Casa,"$2,750,000",4,4.5,585 m2,2022
D001,Apartamento,"$860,000",2,2,140 m2,2022
D002,Apartamento,"$985,000",2,2,163 m2,2022
D003,Apartamento,"$1,880,000",3,3,315 m2,2022
D106,Apartamento,"$1,350,000",3,3.5,336 m2,2022
D201,Apartamento,"$1,015,000",3,3.5,161 m2,2022
D204,Apartamento,"$1,479,500",3,3.5,207 m2,2022
D205,Apartamento,"$650,000",1,1,136 m2,2022
D301,Apartamento,"$1,071,239",3,3.5,175 m2,2022
D304,Apartamento,"$1,579,500",3,3.5,212 m2,2022
D403,Apartamento,"$1,780,500",3,2.5,309 m2,2022
Direct Water Views C301,Apartamento,"$800,000",3,3.5,131 m2,2022
G002,Apartamento,"$480,000",1,1.5,81 m2,2022
G003,Apartamento,"$478,000",1,1.5,81 m2,2022
Patio Studio D005,Apartamento,"$350,000",1,1,79 m2,2022
Simply Spectacular D302,Apartamento,"$1,187,088",2,2.5,155 m2,2022
Studio D004,Apartamento,"$360,000",1,1,81 m2,2022
Studio D105,Apartamento,"$295,000",1,1,60 m2,2022
Studio D107,Apartamento,"$290,000",1,1,61 m2,2022
Two Level Penthouse C402,Apartamento,"$1,440,500",2,2.5,288 m2,202
